,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.05967881,0.87134523,1.00000000,6037.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/CodingConventions$DefaultCodingConvention:checkForCallingConventionDefiningCalls(Lcom/google/javascript/rhino/Node;Ljava/util/Map;)V,0.05614969,0.12950496,1.00000000,899.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/SourceFile:isExtern()Z,0.06024067,0.39439074,1.00000000,2738.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/jstype/FunctionType:setImplementedInterfaces(Ljava/util/List;)V,0.05795840,0.33375445,1.00000000,2317.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/TypedScopeCreator$AbstractScopeBuilder:attachLiteralTypes(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V,0.14605561,0.35978434,1.00000000,2490.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/JSDocInfo:getFlag(I)Z,0.08977008,0.49649777,1.00000000,3438.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/FunctionTypeBuilder$AstFunctionContents:mayBeFromExterns()Z,0.06353281,0.34395185,1.00000000,2389.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/parsing/IRFactory:transformTree(Lcom/google/javascript/jscomp/mozilla/rhino/ast/AstRoot;Lcom/google/javascript/rhino/jstype/StaticSourceFile;Ljava/lang/String;Lcom/google/javascript/jscomp/parsing/Config;Lcom/google/javascript/jscomp/mozilla/rhino/ErrorReporter;)Lcom/google/javascript/rhino/Node;,0.06283680,0.88937138,1.00000000,6160.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/parsing/IRFactory:newStringNode(ILjava/lang/String;)Lcom/google/javascript/rhino/Node;,0.05846731,0.88113559,1.00000000,6105.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.05187689,0.87454272,1.00000000,6062.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/LinkedFlowScope$FlowScopeJoinOp:<init>()V,0.05641414,0.35935293,1.00000000,2496.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/TypedScopeCreator$AbstractScopeBuilder:<init>(Lcom/google/javascript/jscomp/TypedScopeCreator;Lcom/google/javascript/jscomp/Scope;Lcom/google/javascript/jscomp/TypedScopeCreator$1;)V,0.05729891,0.35861066,1.00000000,2490.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/jstype/FunctionType:isInstanceType()Z,0.14384554,0.26772536,1.00000000,1855.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/CompilerInput:<init>(Lcom/google/javascript/jscomp/JSSourceFile;)V,0.05521713,0.86701101,1.00000000,6008.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/graph/LinkedDirectedGraph$AnnotatedLinkedDirectedGraphNode:setAnnotation(Lcom/google/javascript/jscomp/graph/Annotation;)V,0.05294236,0.40143860,1.00000000,2787.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/CheckLevel:isOn()Z,0.08386092,0.88491233,1.00000000,6129.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.06116134,0.91310351,1.00000000,6329.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/JSDocInfo:getParameterNames()Ljava/util/Set;,0.06591447,0.33014405,1.00000000,2294.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/graph/LinkedDirectedGraph$LinkedDirectedGraphNode:getValue()Ljava/lang/Object;,0.07235710,0.47083665,1.00000000,3263.00000000,1.00000000,7197.00000000
com/google/javascript/jscomp/Scope:<init>(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/jstype/ObjectType;)V,0.05380980,0.35880121,1.00000000,2493.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.05544934,0.94345116,1.00000000,6539.00000000,1.00000000,7197.00000000
com/google/javascript/rhino/Node:isSyntheticBlock()Z,0.06373387,0.42165238,1.00000000,2925.00000000,1.00000000,7197.00000000
