,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.09869232,0.87015311,1.00000000,6586.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/TypedScopeCreator$AbstractScopeBuilder:attachLiteralTypes(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V,0.19837476,0.36131197,1.00000000,2732.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/JSDocInfo:getFlag(I)Z,0.18671959,0.52219222,2.00000000,3945.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/jstype/SimpleSourceFile:<init>(Ljava/lang/String;Z)V,0.06123266,0.06745902,1.00000000,511.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/parsing/IRFactory:newStringNode(ILjava/lang/String;)Lcom/google/javascript/rhino/Node;,0.09293895,0.88043120,1.00000000,6664.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/LinkedFlowScope$FlowScopeJoinOp:<init>()V,0.08735258,0.36080270,1.00000000,2738.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.18154554,0.86381722,2.00000000,6543.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/graph/LinkedDirectedGraph$LinkedDirectedGraphNode:getValue()Ljava/lang/Object;,0.11627870,0.47412842,1.00000000,3589.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.15343701,0.94072777,2.00000000,7123.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/Compiler:parseTestCode(Ljava/lang/String;)Lcom/google/javascript/rhino/Node;,0.10562173,0.10570611,1.00000000,786.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/JSDocInfoBuilder:<init>(Z)V,0.15414650,0.52452829,2.00000000,3977.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/Node:setOptionalArg(Z)V,0.17994172,0.86411879,2.00000000,6543.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/JsAst:<init>(Lcom/google/javascript/jscomp/SourceFile;)V,0.09292612,0.87220336,1.00000000,6600.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/NodeTraversal$AbstractShallowStatementCallback:<init>()V,0.07697132,0.36205653,1.00000000,2748.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/Node:isScript()Z,0.17675260,0.87653737,1.00000000,6622.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/NodeTraversal:popScope()V,0.12507952,0.87304974,1.00000000,6604.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/jstype/FunctionType:setPrototypeNoCheck(Lcom/google/javascript/rhino/jstype/ObjectType;Lcom/google/javascript/rhino/Node;)Z,0.40444533,0.86766374,2.00000000,6543.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/Node:getFirstChild()Lcom/google/javascript/rhino/Node;,0.94771833,0.95879721,1.00000000,7108.00000000,2.00000000,7850.00000000
com/google/javascript/rhino/jstype/VoidType:getDisplayName()Ljava/lang/String;,0.14267787,0.86345621,2.00000000,6543.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/CodingConvention$AssertionFunctionSpec:<init>(Ljava/lang/String;)V,0.08333068,0.34952628,1.00000000,2652.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/DataFlowAnalysis$BranchedForwardDataFlowAnalysis:joinInputs(Lcom/google/javascript/jscomp/graph/DiGraph$DiGraphNode;)V,0.12258179,0.36114237,1.00000000,2733.00000000,2.00000000,7850.00000000
com/google/javascript/jscomp/DiagnosticGroups:<init>()V,0.07701740,0.88284209,1.00000000,6686.00000000,2.00000000,7850.00000000
